title,author,description,news_category,urlToImage,publishedat,source_id,news_related
Divorce lawyers say it's a seasonal business. Here's why,Vanessa Romo,Divorce lawyers know certain times of the year are much busier than others. They and researchers have found seasonal patterns around divorce filings.,business,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/3130x1761+0+120/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F03%2F31%2F6bc228db4cc7b558c551df2092d3%2Fgettyimages-1247130803.jpg,2025-06-05T09:01:00Z,NPR,True
The Quietly Booming Business of Making Animals Live Forever,msmash,"Animal cloning has evolved from experimental science into a thriving commercial industry producing thousands of genetic copies across nearly 60 species, despite sustained public opposition to the technology. ViaGen Pets & Equine, the world's leading producer …",business,https://a.fsdn.com/sd/topics/business_64.png,2025-06-03T16:50:00Z,Slashdot.org,True
How Business Insider investigated the true cost of data centers,"Hannah Beckler,Rosemarie Ho,Narimes Parakul,Dakin Campbell","How Business Insider calculated data centers' true cost, from their electricity and water use to their impact on the environment and public health.",business,https://i.insider.com/6841ebdb9d73a0031e8df915?width=1200&format=jpeg,2025-06-17T08:13:01Z,Business Insider,True
Putin's business buddies don't want Western companies back in Russia,Thibault Spirlet,Russian business leaders are backing legislation that would stop Western companies one day returning to the market they left after the Ukraine invasion.,business,https://i.insider.com/684bd97f85e81483682c080b?width=1200&format=jpeg,2025-06-16T08:55:37Z,Business Insider,True
"Threads Will Now Let You Hide Spoilers, but Logging Off Is Still Free",Cheryl Eddy,A new feature on the social media platform hopes to protect users from seeing entertainment spoilers.,entertainment,https://gizmodo.com/app/uploads/2025/06/kaitlyn-dever-pedro-pascal-2-1200x675.jpg,2025-06-16T22:49:58Z,Gizmodo.com,True
"The New ‘Game of Thrones’ Game Will Let You Kill Jon Snow, for Real This Time",Sabina Graves,The real-time strategy game will be coming to PC in 2026 from PlaySide Studios and Warner Bros. Entertainment.,entertainment,https://gizmodo.com/app/uploads/2025/06/Game-of-Thrones-game-1200x675.jpg,2025-06-06T22:10:25Z,Gizmodo.com,True
Taylor Swift now owns all of her music,Jay Peters,"Taylor Swift now owns “all of the music I’ve ever made,” she says in a letter posted on her website on Friday. Swift has purchased the masters of her first six albums back from Shamrock Capital, which owned them after entertainment executive Scooter Braun sol…",entertainment,https://platform.theverge.com/wp-content/uploads/sites/2/2025/05/gettyimages-2196817926.jpg?quality=90&strip=all&crop=0%2C11.569161517458%2C100%2C76.861676965083&w=1200,2025-05-30T17:03:03Z,The Verge,True
FBC: Firebreak is missing Control’s weird charm,Tauriq Moosa,"With FBC: Firebreak, Remedy Entertainment has entered the world of the first-person co-op shooter. Set in its Control universe - specifically the site of the first game, the brutalist nightmare office called the Oldest House - players control a member of the …",entertainment,https://platform.theverge.com/wp-content/uploads/sites/2/2025/06/ss_0d2a1b6b95ae6c78a1f19ebf187e9b1c9f0e31fb.jpg?quality=90&strip=all&crop=0%2C3.4613147178592%2C100%2C93.077370564282&w=1200,2025-06-18T21:11:50Z,The Verge,True
Nintendo’s bold new era is full of safe bets,Andrew Webster,"Nintendo is entering a new era. While most everyone associates the company with video games, for the last few years the brand behind Mario has been steadily expanding itself into something much larger. ""I think people view Nintendo as a gaming company, but we…",entertainment,https://platform.theverge.com/wp-content/uploads/sites/2/2025/05/257766_Nintendo_package__CVirginia_SAFE-BETS.jpg?quality=90&strip=all&crop=0%2C9.9676601489831%2C100%2C80.064679702034&w=1200,2025-05-23T14:23:04Z,The Verge,True
Netflix co-founder Reed Hastings joins Anthropic’s board of directors,Jay Peters,"Anthropic is adding a new person to its board: Reed Hastings, Netflix’s chairman, co-founder, and former CEO. “Hastings brings extensive experience from founding and scaling Netflix into a global entertainment powerhouse, along with his service on the boards …",entertainment,https://platform.theverge.com/wp-content/uploads/sites/2/2025/05/gettyimages-1445820458.jpg?quality=90&strip=all&crop=0%2C10.735850289523%2C100%2C78.528299420954&w=1200,2025-05-28T17:03:51Z,The Verge,True
Rokid’s new AR glasses are basically a laptop you wear on your face,"techkritiko@gmail.com (Jay Bonggolto) , Jay Bonggolto",Rokid's AR Spatial glasses create a massive 300-inch virtual screen for immersive entertainment and work.,entertainment,https://cdn.mos.cms.futurecdn.net/8Ge3WXJvLCThewfh5MqUCQ.jpg,2025-06-19T04:05:43Z,Android Central,True
Netflix will air traditional TV channels inside its app in France,Jess Weatherbed,"Starting in summer 2026, Netflix subscribers in France will be able to watch commercially broadcast TV content “without ever having to leave the service.” The streaming giant has announced a distribution deal with French media company TF1 Group to make TF1’s …",entertainment,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/STK072_VRG_Illo_N_Barclay_1_netflix.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-06-18T11:51:30Z,The Verge,True
Best Bluetooth headphone adapter 2025,"namerah.saud-fatmi@futurenet.com (Namerah Saud Fatmi) , Namerah Saud Fatmi",A Bluetooth headphone adapter adds Bluetooth functionality to devices like older speakers and in-flight entertainment systems. Here are the best ones available.,entertainment,https://cdn.mos.cms.futurecdn.net/bdMBy4H5wiLuTFWBx5KLkV.jpg,2025-06-09T14:45:44Z,Android Central,True
The man behind Netflix's 'Dept. Q' thinks the future of entertainment is … games,Peter Kafka,"Netflix's ""Dept. Q"" is a hit. Scott Frank is behind it. But if he were to start all over, he tells BI's Peter Kafka he'd pick a different industry.",entertainment,https://i.insider.com/6849ae0d3d5881a51c1b35fd?width=1200&format=jpeg,2025-06-11T16:42:03Z,Business Insider,True
Netflix is looking more like the cable model it used to say was doomed,Lucia Moses,"Analysts size up Netflix's TF1 deal, which plays into its ad business and solidifies it as a one-stop shop for entertainment.",entertainment,https://i.insider.com/68532e4d85e81483682c677d?width=1200&format=jpeg,2025-06-18T21:25:47Z,Business Insider,True
"Double Your Productivity or Play, This 15-Inch Portable Monitor Is Now Almost Free on Amazon",Gizmodo Deals,"For under $50, double your workspace with this 15-inch ultra-thin screen.",entertainment,https://gizmodo.com/app/uploads/2025/04/anyuse-portable-monitor.jpg,2025-06-01T21:03:24Z,Gizmodo.com,True
"Amazon Clearing Out Smart TVs, This 42″ Full HD Model Sold for Peanuts Before Prime Day",Gizmodo Deals,"For what you’d pay for a restaurant meal, you get a 42-inch smart TV for your home.",entertainment,https://gizmodo.com/app/uploads/2024/11/insignia-fire-tv.jpg,2025-06-17T20:12:56Z,Gizmodo.com,True
Amazon Offers Fire TV Soundbar for Practically Free to Clear Out Stock Ahead of Prime Day,Joe Tilleli,Save 29% on the Fire TV 2.0 channel soundbar over at Amazon for a limited time.,entertainment,https://gizmodo.com/app/uploads/2025/06/FireTV-Soundbar-1200x675.jpg,2025-06-19T14:40:58Z,Gizmodo.com,True
"LG’s 75-Inch Smart TV Hits Its Lowest Price at Best Buy for Memorial Day, and It’s Not Available on Amazon",Gizmodo Deals,"A premium big-screen experience, at a price that’s hard to believe. Act fast, it will only be available for a limited time.",entertainment,https://gizmodo.com/app/uploads/2025/05/Amazon-LG-1.jpg,2025-05-21T12:40:14Z,Gizmodo.com,True
Justin Sun takes crypto company public — reportedly with help from Eric Trump,Tina Nguyen,"Last year, Justin Sun was facing a federal investigation into his crypto empire, to the point that he avoided entering the US. Now, his company is going to be publicly listed on the American stock markets – and reportedly with the assistance of Eric Trump. Tr…",entertainment,https://platform.theverge.com/wp-content/uploads/sites/2/2025/06/gettyimages-2212249714.jpg?quality=90&strip=all&crop=0%2C10.7294090391%2C100%2C78.541181921799&w=1200,2025-06-16T22:43:52Z,The Verge,True
"Kotaku’s Biggest Gaming Culture News For The Week June 07, 2025",Kotaku Staff,"From mergers to memes, the landscape of interactive entertainment is always in motion. Here’s your cheat sheet for the week’s most important stories in gaming.Read more...",entertainment,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/232704cf3c4fc1b8f4d1d054688cfa50.jpg",2025-06-07T13:00:00Z,Kotaku,True
Brass Lion Entertainment unveils co-op action RPG Wu-Tang: Rise of the Deceiver,Dean Takahashi,"Brass Lion Entertainment revealed its trailer for its debut game Wu-Tang: Rise of the Deceiver, part of Ghostface Killah's Angel of Dust franchise.",entertainment,https://venturebeat.com/wp-content/uploads/2025/06/WU-TANG-4.jpg?w=1024?w=1200&strip=all,2025-06-06T22:47:00Z,VentureBeat,True
WATCH: Buss family agrees to sell Los Angeles Lakers for $10B,ABC News,ABC News contributor and senior entertainment reporter Kelly Carter runs through the buzziest stories in entertainment and pop culture.,entertainment,https://i.abcnewsfe.com/a/25db6bd3-ac36-47aa-8285-518a30907c4b/250618_abcnl_6p_vibe_check_hpMain_16x9.jpg?w=992,2025-06-18T23:50:06Z,ABC News,True
"Of Course, James Gunn Is Thinking About a ‘Justice League’ Movie",Germain Lussier,"The DC Studios leader talks 'Superman,' 'Superman' sequels, Batman, Wonder Woman, and that potential team-up.",entertainment,https://gizmodo.com/app/uploads/2025/06/Superman-Justice-Gang-1200x675.jpg,2025-06-10T17:15:18Z,Gizmodo.com,True
"One, Big, Beautiful Breakup",Zoë Schiffer,"On this epsiode of Uncanny Valley, our senior politics editor joins us to discuss the implications of the collapse of the relationship between Trump and Musk.",politics,"https://media.wired.com/photos/6840b2d8b89efac7e73753f2/191:100/w_1280,c_limit/Uncanny-Valley-Trump-Elon-Breakup-Politics-2217853024.jpg",2025-06-09T19:56:42Z,Wired,True
MAGA’s Marxist Minnesota Shooter Theory Falls Apart in Record Time,Lucas Ropek,The debate about the Minnesota shooter's politics is now a predictable manifestation of America's polarization.,politics,https://gizmodo.com/app/uploads/2025/06/Tim-Walz-1200x675.jpg,2025-06-17T20:20:14Z,Gizmodo.com,True
Immigration is the albatross around UK politics. Starmer will struggle to break free,None,"New figures are expected to show a fall in net migration. But still, Labour will struggle to soothe public concern, writes our senior correspondent Allan Little.",politics,https://ichef.bbci.co.uk/news/1024/branded_news/c563/live/467896f0-365a-11f0-8519-3b5a01ebe413.png,2025-05-22T02:01:40Z,BBC News,True
"Tariffs, Schmariffs! An iPhone 17 Price Hike Is Overdue, Regardless of Trump's Threats",Patrick Holland,"Commentary: Follow the math, not the tariffs and politics.",politics,https://www.cnet.com/a/img/resize/31bd2514862adde4375ae172b798d57508e3d399/hub/2025/04/09/dbd17d72-f820-4312-9d6e-efb5d6fa3716/consumer-tech-products-prices-iphone-tariffs-4005.jpg?auto=webp&fit=crop&height=675&width=1200,2025-05-25T12:00:11Z,CNET,True
"I Studied iPhone Prices Going Back to 2007. Tariff or Not, We're Due for a Price Hike",Patrick Holland,"Commentary: The math, not the tariffs and politics, leads me to predict a higher price for the iPhone 17 this year.",politics,https://www.cnet.com/a/img/resize/31bd2514862adde4375ae172b798d57508e3d399/hub/2025/04/09/dbd17d72-f820-4312-9d6e-efb5d6fa3716/consumer-tech-products-prices-iphone-tariffs-4005.jpg?auto=webp&fit=crop&height=675&width=1200,2025-05-27T15:18:00Z,CNET,True
"Elon Musk is on a media blitz. Here's what he said about DOGE, politics, and why he doesn't like Trump's big bill.",Bryan Metzger,"Musk has criticized Trump's bill, said he's stepping back from spending money on elections, and said he's spent too much time on politics.",politics,https://i.insider.com/683726026ffb6822ec61a068?width=1200&format=jpeg,2025-05-28T18:43:47Z,Business Insider,True
It's Elon Musk's last official day in DC. Here are some of the most notable reactions to his DOGE exit.,"Brent D. Griffiths,Alice Tecotzky",Elon Musk is leaving DC. People across the world of business and politics reflected on his time at DOGE and reacted to his exit.,politics,https://i.insider.com/6839b563ca50259add4d57b1?width=1200&format=jpeg,2025-05-30T15:47:01Z,Business Insider,True
Elon Musk thanks Trump as he says his time as a US government employee is coming to an end,Kelsey Vlamis,"Elon Musk thanked President Donald Trump amid his step back from politics and said the DOGE mission will ""only strengthen over time.""",politics,https://i.insider.com/6837b1cfc6ad288d148220f3?width=1200&format=jpeg,2025-05-29T02:01:25Z,Business Insider,True
"Elon Musk said he's spent 'too much time on politics' this year, in an interview with Ars Technica","Morgan McFall-Johnsen,Katherine Li","Elon Musk spoke with Ars Technica's space editor before SpaceX launched a problem Starship flight. Musk said he's spent ""too much time"" in politics.",politics,https://i.insider.com/68366086c6ad288d148202bf?width=1024&format=jpeg,2025-05-28T02:50:41Z,Business Insider,True
Elon Musk went on a media blitz. Here are 5 takeaways from his interviews.,Kwan Wei Kevin Tan,"In media interviews on Tuesday, Musk reaffirmed his commitment to Tesla and said he'd be spending less on politics in the future.",politics,https://i.insider.com/682d3e3aac40ae2b0c9e9c14?width=1200&format=jpeg,2025-05-21T05:30:06Z,Business Insider,True
Germany's new chancellor said it will build Europe's strongest army — but can it deliver?,Rebecca Rommen,"Germany's new chancellor vowed to build Europe's strongest army — but experts say underinvestment, recruitment, and politics may stand in the way.",politics,https://i.insider.com/682991e868a292900801a375?width=800&format=jpeg,2025-05-22T10:53:03Z,Business Insider,True
UK agrees post-Brexit deal over Gibraltar,None,Talks on rules governing the border of Spain and Gibraltar have been ongoing since Britain left the EU.,politics,https://ichef.bbci.co.uk/news/1024/branded_news/673d/live/e8e38760-46d1-11f0-84b6-6bf0f66205f1.jpg,2025-06-11T15:05:19Z,BBC News,True
Bromance Is Dead: Splitsville for Besties Trump and Musk,Miles Klee,It's a truly dark day in politics when two rich narcissists can't get along anymore,politics,https://s.yimg.com/ny/api/res/1.2/GbZ8mGNdFtZg7m1XeyNI4w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/rollingstone.com/a2f4cd824e6bc33fa7d21ecb1fece45d,2025-06-05T22:20:20Z,Rolling Stone,True
Donald Trump’s Politics of Plunder,Evan Osnos,"Evan Osnos reports on America’s aspiring oligarchs, including Elon Musk, Jeff Bezos, and Mark Zuckerberg, and on opposition to corruption by Bernie Sanders, Alexandria Ocasio-Cortez, and the Patriotic Millionaires.",politics,"https://media.newyorker.com/photos/682e428a93c02d176267fd69/16:9/w_1280,c_limit/r46616.jpg",2025-05-26T10:00:00Z,The New Yorker,True
Palantir’s CEO Throws Money Behind Andrew Cuomo in NYC Mayoral Race,Lucas Ropek,The creepy company's chief creep is backing a mayoral candidate who has been called a creep.,politics,https://gizmodo.com/app/uploads/2025/06/Andrew-Cuomo-1200x675.jpg,2025-06-18T20:50:53Z,Gizmodo.com,True
Elon Musk says he's stepping back from DOGE and politics. That doesn't mean he's disappearing from DC.,Bryan Metzger,"Despite Musk's apparent plans to step back from DOGE, he made several appearances in DC this week, including in the Oval Office and on Capitol Hill.",politics,https://i.insider.com/683079bbca50259add4ce2c5?width=1200&format=jpeg,2025-05-26T10:11:01Z,Business Insider,True
The Meaning of Lee Jae-myung’s Election Triumph,Ian Bremmer,"Exit polls project a win for the veteran center-left leader—closing a tumultuous chapter in South Korea's politics, writes Ian Bremmer.",politics,https://api.time.com/wp-content/uploads/2025/06/GettyImages-2218193912.jpg?quality=85&w=1024&h=628&crop=1,2025-06-03T15:44:43Z,Time,True
The Elon Musk and Donald Trump Breakup Has Started,Jake Lahut,"Trumpworld insiders fear that Elon Musk's attacks on Donald Trump's ""Big Beautiful Bill"" could kill it—and are already advising candidates to turn their backs on the world's richest man.",politics,"https://media.wired.com/photos/6841c90c98668748f2455839/191:100/w_1280,c_limit/Elon-Trump-Breakup-Politics-2217853041.jpg",2025-06-05T18:13:15Z,Wired,True
How “Andor” Injects Contemporary Politics Into “Star Wars” I.P.,Kyle Chayka,"Beneath all the laser blasters and X-wing spaceships, Tony Gilroy’s miniseries spinoff is a twisting tale of radicalization.",politics,"https://media.newyorker.com/photos/682d094a8403548539ba683e/16:9/w_1280,c_limit/Chayka_Andor_final.jpg",2025-05-21T10:00:00Z,The New Yorker,True
Trump's impact on European politics: Rise of the right and liberals pushing back,"David Brennan, Ellie Kaufman","If this past weekend in European politics is an indicator of anything, it's that the ""Trump effect"" is real, and its reverberations are unpredictable.",politics,https://i.abcnewsfe.com/a/8392a5cb-cb6b-4804-9161-8696bd856114/trumpeu_1747791684431_hpMain_16x9.jpg?w=1600,2025-05-21T09:08:44Z,ABC News,True
Good Science,About,None,science,https://imgs.xkcd.com/comics/good_science_2x.png,2025-06-11T04:00:00Z,Xkcd.com,True
Spending Review to include £86bn science and tech package,None,"The government says every corner of the country will benefit, but research backers call for a long-term plan for science.",science,https://ichef.bbci.co.uk/news/1024/branded_news/9012/live/fb3c64c0-4435-11f0-b6e6-4ddb91039da1.jpg,2025-06-08T08:09:04Z,BBC News,True
"Universities Can Do Research as Long as It’s ‘In Sync’ With Trump Administration, Education Secretary Says",AJ Dellinger,"Science done at U.S. institutions ought to line up with ""what the administration is trying to accomplish,"" Linda McMahon said in an interview Wednesday.",science,https://gizmodo.com/app/uploads/2025/04/linda-mcmahon-education-department-march-20-2025.jpg,2025-05-28T17:52:37Z,Gizmodo.com,True
"‘Dan Da Dan: Evil Eye’ Brings Curses, Chaos, and Heart",Isaiah Colbert,Science Saru's theatrical preview prepares 'Dan Da Dan' for a genre-bending comeback before season 2 haunts your anime watchlist this July.,science,https://gizmodo.com/app/uploads/2025/05/Dan-Da-Dan-Evil-Eye-Anime-Review.jpg,2025-05-29T14:15:06Z,Gizmodo.com,True
People say coke and fries are helping their migraines - but there's a twist,None,Migraines are one of the most complex neurological disorders. What is the science behind the latest hack?,science,https://ichef.bbci.co.uk/news/1024/branded_news/db99/live/276e9fc0-3e5c-11f0-835b-310c7b938e84.jpg,2025-06-01T00:36:31Z,BBC News,True
"Police must 'do their bit' on funding, minister warns",None,"Science and Technology Secretary Peter Kyle says police should ""embrace change"" as talks over funding continue.",science,https://ichef.bbci.co.uk/news/1024/branded_news/d396/live/cf5cd850-4456-11f0-bff4-194417507412.jpg,2025-06-08T11:58:29Z,BBC News,True
"RIP to These NASA X Accounts, as U.S. Science Falls Off a Cliff",Ellyn Lapointe,"While some welcome the change, other experts warn that this move could make it even harder to access scientific information in Trump’s America.",science,https://gizmodo.com/app/uploads/2025/06/NASA-sign-1200x675.jpg,2025-06-11T16:45:51Z,Gizmodo.com,True
Trump's Crackdown on Foreign Student Visas Could Derail Critical AI Research,"Will Knight, Lauren Goode, Kate Knibbs, Louise Matsakis","The US says it will ""aggressively revoke"" Chinese student visas and has paused interviews for all student visa applicants. Experts warn the moves could weaken American leadership in STEM.",science,"https://media.wired.com/photos/68362ed67854ee198fdf8bcb/191:100/w_1280,c_limit/Trump-STEM-Visas-Business-2217166890.jpg",2025-05-29T19:42:30Z,Wired,True
The most powerful laser in the US recently produced 2 quadrillion watts of power,Andrew Liszewski,"The University of Michigan has announced that its Zettawatt-Equivalent Ultrashort pulse laser System (ZEUS) produced 2 petawatts, or 2 quadrillion watts of power during its first experiment. That’s more than “100 times the global electricity power output,” ac…",science,https://platform.theverge.com/wp-content/uploads/sites/2/2025/05/zeuslaser.jpg?quality=90&strip=all&crop=0%2C10.721349621873%2C100%2C78.557300756254&w=1200,2025-05-20T16:47:20Z,The Verge,True
Here's the science behind the COVID vaccine in pregnancy,Jackie Fortiér,Existing evidence on the safety and efficacy of getting a COVID vaccine in pregnancy all points the same way: the shot is important for maternal and fetal health.,science,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/2121x1193+0+110/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F3a%2F27%2F388d462249b7914509c901a11ac4%2Fgettyimages-1356313576.jpg,2025-05-30T21:14:00Z,NPR,True
"ZEUS Is Officially America’s Most Powerful Laser, With 2-Petawatt Blast",Isaac Schultz,The most powerful laser in the U.S. just fired up to full strength for its first official experiment—and it’s an absolute beast.,science,https://gizmodo.com/app/uploads/2025/05/zeus-laser.jpg,2025-05-20T20:05:24Z,Gizmodo.com,True
"A biotech company sold over 500,000 AI-powered health testing kits. Two C-suite leaders share how they kept science at the center.",amok@insider.com (Aaron Mok),Viome is combining science and AI to provide dietary advice and detect diseases. Two company execs share how they use the MVP mindset for innovation.,science,https://i.insider.com/684c3c2cf748d8c055f3a746?width=1200&format=jpeg,2025-06-17T17:04:48Z,Business Insider,True
Trump Cuts Are Killing a Tiny Office That Keeps Measurements of the World Accurate,Molly Taft,A tiny but crucial agency that maintains physical coordinates like latitude and longitude in the US is struggling as the Trump administration forces out federal employees.,science,"https://media.wired.com/photos/6827affd820db7d753adbb1c/191:100/w_1280,c_limit/GettyImages-1337105596.jpg",2025-05-21T17:00:00Z,Wired,True
Xbox co-founder J Allard is working on ‘breakthrough’ devices at Amazon,Antonio G. Di Benedetto,"Amazon has a new ZeroOne team focused on “breakthrough” devices, and it’s led by Xbox cofounder and former Microsoft executive J Allard, CNBC reports. Based on a job listing for the team, one of those products is a smart home device. J Allard was one of the m…",science,https://platform.theverge.com/wp-content/uploads/sites/2/2025/04/acastro_STK103__01.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-05-29T20:09:34Z,The Verge,True
New Supermaterial: As Strong as Steel and as Light as Styrofoam,John Elliot V,Today in material science news we have a report from [German Science Guy] about a new supermaterial which is as strong as steel and as light as Styrofoam! A supermaterial is a type of material that…,science,https://hackaday.com/wp-content/uploads/2025/05/supermaterial-banner.png,2025-05-28T02:00:28Z,Hackaday,True
Retrotechtacular: Arthur C. Clarke Predicts the Future,Al Williams,"Predicting the future is a dangerous occupation. Few people can claim as much success as Arthur C. Clarke, the famous science and science fiction author. Thanks to the BBC and the Australian Broadc…",science,https://hackaday.com/wp-content/uploads/2025/06/clarke_feat.jpg,2025-06-16T17:00:30Z,Hackaday,True
A Game-Changing Telescope Is About to Reveal Its First Images. Here’s How to Watch,Ellyn Lapointe,"The Vera C. Rubin observatory will host a “first look” event at 11 a.m. ET on Monday, June 23. You can watch it live right here.",science,https://gizmodo.com/app/uploads/2025/06/vera-rubin-observatory-1200x675.jpg,2025-06-19T14:00:01Z,Gizmodo.com,True
Haunting Deep-Sea Footage Reveals U.S. Submarine Lost During WWI,Natalia Mesa,"With cutting-edge deep-sea imaging technology, researchers captured high-definition images of a 100-year old submarine.",science,https://gizmodo.com/app/uploads/2025/05/Sunken-USS-F1-Submarine.jpg,2025-05-30T19:35:15Z,Gizmodo.com,True
